"id";"chinese";"english";"classification1";"classification2";"classification3";"source";"remark";"contributor";"image";"xremark";"sentenceCN";"sentenceCNResource";"sentenceEN";"sentenceENResource";"abbreviationCN";"abbreviationEN";"synonymCN";"synonymEN";"definationCN";"definationCNResource";"definationEN";"definationENResource";"status";"totalClick"
387;"耐油电缆";"oil-resistant cable";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
388;"电液滑环";"electro-hydraulic slip ring";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
389;"过温故障";"overtemperature";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
390;"电动变桨";"electrical pitching";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
391;"电控变桨继电器";"electronically controlled pitch relay";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
392;"固态继电器";"solid-state relay";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
393;"变桨继电器";"pitch relay";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
394;"电子继电器";"electronic relay
";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
395;"电子式刹车控制器";"electronic brake controller
";"风电";"风机";"变桨系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
396;"偏航";"yaw";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
397;"偏航驱动";"yaw drive";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
398;"偏航电机";"yaw motor";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
399;"偏航系统";"yaw system";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
400;"偏航减速器";"yaw gearbox";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
401;"偏航轴承";"yaw bearing";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
402;"偏航刹车盘";"yaw brake disc";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
403;"偏航制动(器)";"yaw brake";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
404;"偏航齿轮";"yaw gear";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
405;"偏航误差";"yaw misalignment";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
406;"转矩限制器";"torque limiter";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
407;"扭矩限制器";"torque limiter";"风电";"风机";"偏航系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
408;"dudt滤波器";"du/dt filter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
409;"LCL滤波器";"LCL filter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
410;"LCL网侧滤波器";"line-side LCL filter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
411;"PLC模块";"PLC module";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
412;"安全继电器";"safety relay";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
413;"变流器";"converter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
414;"变流器额定运行条件";"rated operation condition of converter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
415;"差模电压";"difference-mode voltage";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
416;"共模电压";"common-mode voltage";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
417;"除湿机";"dehumidifier";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
418;"低电压穿越";"low voltage ride-through";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
419;"低电压穿越";"LVRT";"风电";"风机";"变流系统";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
420;"电抗器";"reactor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
421;"电流互感器";"current transformer";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
422;"额定电流";"rated current";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
423;"额定电压";"rated voltage";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
424;"额定频率";"rated frequency";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
425;"二次系统";"secondary system";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
426;"高电压穿越";"high voltage ride-through";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
427;"高电压穿越";"HVRT";"风电";"风机";"变流系统";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
428;"功率模块";"power module";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
429;"功率系统";"power system";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
430;"环控系统";"environmental control system";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
431;"机侧";"generator-side";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
432;"机侧变流器";"generator-side converter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
433;"机侧电抗器";"generator-side reactor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
434;"机侧断路器";"generator-side circuit breaker";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
435;"机侧滤波单元";"generator-side filter unit";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
436;"机侧三相出线";"generator-side 3-phase outlet";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
437;"继电器";"relay";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
438;"加热器";"heater";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
439;"接触器";"contactor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
440;"解耦";"decoupling ";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
441;"空水换热器";"water-to-air heat exchanger";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
442;"控制柜";"control cabinet";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
443;"控制器";"controller";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
444;"冷却液";"coolant";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
445;"滤波电容";"filter capacitor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
446;"滤波器";"filter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
447;"逆变单元";"inverter unit";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
448;"逆变模块";"inverter module";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
449;"逆变器";"inverter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
450;"全功率变流器";"full-power converter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
451;"熔断器";"fuse";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
452;"三相电抗器";"3-phase reactor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
453;"上电";"energization";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
454;"双馈变流器";"double-fed converter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
455;"水冷系统";"water-cooled system";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
456;"水冷系统";"water-cooling system";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
457;"水冷系统出线";"inlet of water-cooling system";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
458;"水冷系统进线";"outlet of water-cooling system";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
459;"网侧";"line-side";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
460;"网侧变流器";"line-side converter";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
461;"网侧断路器";"line-side circuit breaker";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
462;"温湿度传感器";"temperature and humidity sensor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
463;"吸收电阻";"absorption resistor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
464;"谐波";"harmonic";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
465;"预充电电阻";"pre-charge resistor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
466;"预充电接触器";"pre-charge contactor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
467;"整流单元";"rectifier unit";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
468;"整流器";"rectifier";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
469;"整流桥";"bridge rectifier";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
470;"整流三相模块";"3-phase rectifier module";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
471;"直流侧";"DC side";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
472;"直流电压";"DC voltage";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
473;"直流母线";"DC busbar";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
474;"直流环节";"DC link";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
475;"制动单元";"braking unit";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
476;"制动单元";"braking chopper";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
477;"制动电阻";"braking resistor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
478;"制动回路";"braking circuit";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
479;"制动模块";"braking module";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
480;"总谐波畸变率";"total harmonic distortion";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
481;"总谐波畸变率";"THD";"风电";"风机";"变流系统";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
482;"投切开关";"capacitor switch";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
483;"一次回路";"primary circuit ";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
484;"二次回路";"secondary circuit";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
485;"弱电";"weak current";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
486;"强电";"strong current";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
487;"电路互感器";"current transformer";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
488;"反电动势";"counter electromotive force";"风电";"风机";"变流系统";"";"preferred";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
489;"反电动势";"back electromotive force";"风电";"风机";"变流系统";"";"stanadrd";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
490;"反电动势";"counter EMF";"风电";"风机";"变流系统";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
491;"反电动势";"back EMF";"风电";"风机";"变流系统";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
492;"反电动势";"CEMF";"风电";"风机";"变流系统";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
493;"快熔";"fast acting fuse";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
494;"预充电回路";"pre-charge circuit";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
495;"预充电回路";"pre-charging circuit";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
496;"直流支撑电容";"DC-link capacitor";"风电";"风机";"变流系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
497;"液压传动";"hydraulic drive";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
498;"液压传动";"hydraulic transmission";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
499;"压力";"pressure";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
500;"流量";"flow rate";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
501;"电机";"electric motor";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
502;"制动器";"brake";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
503;"阀";"valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
504;"油箱";"oil tank";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
505;"油箱";"oil reservoir";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
506;"蓄能器";"accumulator";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
507;"过滤器";"filter";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
508;"管件";"piping";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
509;"液压油";"hydraulic oil";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
510;"液压站";"hydraulic station";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
511;"单向阀";"check valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
512;"截止阀";"stop valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
513;"安全溢流阀";"overflow valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
514;"减压阀";"pressure reducing valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
515;"卸荷阀";"unloading valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
516;"卸空阀";"emptying valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
517;"压力继电器";"pressure switch";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
518;"二位三通阀";"three-way two-position directional control valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
519;"放气";"air bleed";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
520;"二位二通阀";"two-way two-position directional control valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
521;"顺序阀";"sequence valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
522;"三位四通阀";"four-way three position directional control valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
523;"液压泵";"hydraulic pump";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
524;"余压表";"residual pressure gauge";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
525;"换向阀";"directional control valve";"风电";"风机";"液压与润滑";"";"液压";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
526;"润滑";"lubrication";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
527;"集中润滑系统";"centralized lubrication system";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
528;"递进式集中润滑系统";"progressive centralized lubrication system";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
529;"润滑泵";"lubricant pump";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
530;"分配器";"divider valve";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
531;"柱塞监控器";"piston controller";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
532;"递进式润滑泵";"progressive lubricant pump";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
533;"泵体";"pump";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
534;"油箱";"oil reservoir";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
535;"油箱";"oil tank";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
536;"安全阀";"safety velve";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
537;"油嘴";"nipple";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
538;"柱塞式分配器";"piston distributor";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
539;"润滑脂";"grease";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
540;"润滑膏";"grease";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
541;"润滑小齿轮";"lubrication pinion";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
542;"润滑小齿轮";"lubricating pinion";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
543;"自动润滑系统";"automatic lubrication system";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
544;"二硫化钼润滑剂";"molybdenum disulphide lubricant";"风电";"风机";"液压与润滑";"";"润滑";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
545;"LEMP防护措施系统";"LEMP protection measures system";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
546;"避雷器";"surge protective device";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
547;"避雷线";"lightning wire";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
548;"避雷针";"lightning rod";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
549;"地闪密度";"ground flash density";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
550;"短时间雷击";"short stroke";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
551;"对地雷闪";"lightning flash to earth";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
552;"多重雷击";"multiple strokes";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
553;"防雷";"lightning protection";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
554;"防雷器";"surge protective device";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
555;"杆状接闪器";"air-termination rod";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
556;"基础接地极";"foundation earth electrode";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
557;"接地系统";"earthing system";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
558;"接地线";"earthing conductor";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
559;"接地装置";"earth-termination system";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
560;"接闪器";"receptor";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
561;"拦截效率";"interception efficiency";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
562;"浪涌保护器";"surge protective device";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
563;"雷电电脉冲";"lightning electromagnetic impulse";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
564;"雷电防护等级";"lightning protection level";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
565;"雷电防护区";"lightning protection zone";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
566;"雷电防雷等电位连接";"lightning equipotential bonding";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
567;"雷电峰值记录卡";"peak current sensor (PCS) card";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
568;"雷击";"lightning stroke";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
569;"雷击电荷";"flash charge";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
570;"雷击计数器";"lightning strike counter";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
571;"雷闪";"lightning flash";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
572;"内部雷电防护系统";"internal lightning protection system";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
573;"外部雷电防护系统";"external lightning protection system";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
574;"温度保护装置";"thermal protection equipment";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
575;"温度传感器";"temperature sensor";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
576;"温度调节器";"thermostat";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
577;"温控器";"thermostat";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
578;"温控装置";"temperature control device";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
579;"先导连接点";"leader connection point";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
580;"叶尖接闪器";"blade tip receptor";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
581;"长时间雷击";"long stroke";"风电";"风机";"控制与保护系统";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
